bn:00041942n	
bn:00062759n	পরিকল্পনা
bn:00027473n	
bn:00019780n	জলবায়ু average_annual_temperature average_day_temperature climate climate_system climates climatic climatic_zone global_climate global_temperature global_temperatures world_climate world_temperature world_temperatures
bn:00021721n	
bn:00063819n	
bn:00066603n	
bn:00017153n	
bn:00036512n	শুক্রবার জুম্মাবার শুক্কুরবার frigg's_day friday friday_the_12th parasceve prosabbaton prosábbaton
bn:00067024n	
bn:00028015n	নথিপত্র দলিল দস্তাবেজ
bn:00025780n	
bn:00078738n	
bn:00013941n	
bn:00076588n	
bn:00076732n	পাঠ্যবস্তু
bn:00008786n	
bn:00008568n	
bn:00041712n	গ্রিনহাউজ_গ্যাস গ্রীনহাউজ_গ্যাস গ্রীনহাউস_গ্যাস
bn:00058511n	
bn:00061005n	
bn:00001549n	
bn:00026838n	
bn:00077267n	
bn:00045153n	বিশ্ব world
bn:00029424n	পৃথিবী আর্থ earth terra ♁ 🌍 🌎 🌏 the_planet_earth অবনী জগৎ ধরণী ধরা ধরিত্রী পৃথ্বী বসুধা বসুন্ধরা বিশ্ব ভূ ভূবন ভূমণ্ডল মেদিনী ⊕ 🗺 🜨 about_the_earth blue_and_green_planet composition_of_the_earth diqiu eareth earf earth's_mean_density earth_revolution earths earth’s_surface globe green_and_blue_planet home_planet local_planet mean_density_of_the_earth planet_of_water sol-3 sol3 sol_3 sol_d sol_iii sol_prime surface_area_of_earth telluris tellus the_earth they_earth third_planet third_planet_from_the_sun weight_earth world 🌐
bn:00050371n	
bn:00022479n	কোপেনহেগেন কোপেনহাগেন copenhagen কোবেনহাভেন capital_of_denmark copenhagen,_denmark copenhague dkcph europe/copenhagen kobenhavn koebenhavn koepenhamn kopenhagen kopenhamn köpenhamn københavn public_transport_in_copenhagen un/locode:dkcph
bn:00014711n	
bn:00081604n	
bn:00055644n	অর্থ টাকা ধন commercial_bank_money concept_of_money functions_of_money hard_dollar jo_atkinson monetary_items money monies pecuniary pelf
bn:00023236n	রাষ্ট্র সার্বভৌম_রাষ্ট্র জাতি উম্মত কওম দেশ মিল্লত state modern_state narod narodne nation nation_hood nation_hoods national_identity national_orientation nationally nationhood nationhoods nations political_society sovereign_state রাস্ট্র
bn:00058969n	
