bn:00041942n	团体
bn:00062759n	计划
bn:00027473n	放擲
bn:00019780n	气候
bn:00021721n	会议
bn:00063819n	姿态
bn:00066603n	回應
bn:00017153n	聚焦
bn:00036512n	星期五
bn:00067024n	释放
bn:00028015n	文件
bn:00025780n	减少
bn:00078738n	年
bn:00013941n	负担
bn:00076588n	shijiang
bn:00076732n	文本
bn:00008786n	基础
bn:00008568n	交易
bn:00041712n	绿house气体
bn:00058511n	障碍
bn:00061005n	道
bn:00001549n	进步
bn:00026838n	谈判
bn:00077267n	时间
bn:00045153n	地球
bn:00050371n	领导
bn:00022479n	哥本哈根
bn:00014711n	週
bn:00081604n	工作小组
bn:00076732n	文本
bn:00055644n	钱
bn:00023236n	国家
bn:00058969n	一个
bn:00040681n	全球暖化
bn:00076588n	shijiang
bn:00003268n	范围
bn:00003132n	选项
bn:00043267n	问题
bn:00053933n	上限
bn:00076457n	shìhuò
bn:00067923n	上昇
bn:00008985n	大量
bn:00035190n	彈性
bn:00064536n	程序
bn:00015501n	首都
bn:00047203n	代言人
bn:00028015n	文件
bn:00026838n	谈判
bn:00076732n	文本
bn:00019780n	气候
bn:00036837n	官员
bn:00062275n	场景
bn:00059783n	出线程
bn:00008568n	交易
bn:00027473n	放擲
bn:00061135n	百分比
bn:00025966n	程度
bn:00026694n	发展中国家
bn:00061605n	时间
bn:00061135n	百分比
bn:00023236n	国家
bn:00027473n	放擲
bn:00061135n	百分比
bn:00021127n	欧盟
bn:00075965n	会话
bn:00012159n	推进
bn:00036512n	星期五
bn:00078738n	年
bn:00078738n	年
bn:00023236n	国家
bn:00046065n	影响
bn:00019782n	气候变化
bn:00002954n	洪水
bn:00028863n	旱期
bn:00025949n	伐木
bn:00036512n	星期五
bn:00035907n	类别
bn:00075965n	会话
bn:00014711n	週
bn:00078848n	美国政府
bn:00019780n	气候
bn:00031083n	使节
bn:00049915n	terminology,
bn:00024615n	减少
bn:00027473n	放擲
bn:00058969n	一个
bn:00056029n	运动
bn:00042938n	堅硬
bn:00016756n	中国
bn:00014103n	bush
bn:00036837n	官员
bn:00078738n	年
bn:00078848n	美国政府
bn:00008568n	交易
bn:00026694n	发展中国家
bn:00001135n	行动
bn:00076732n	文本
bn:00024615n	减少
